user_supplied_name,submitted_name,data_source_title,score,matched_name2
Ditrichum schimperi,Ditrichum schimperi,Catalogue of Life Checklist,0.988,Ditrichum schimperi
Ditrichum schimperi,Ditrichum schimperi,Tropicos - Missouri Botanical Garden,0.988,Ditrichum schimperi
Pleuridium,Pleuridium,Catalogue of Life Checklist,0.75,Pleuridium
Pleuridium,Pleuridium,Encyclopedia of Life,0.75,Pleuridium
Pleuridium,Pleuridium,Tropicos - Missouri Botanical Garden,0.75,Pleuridium
Pleuridium,Pleuridium,The International Plant Names Index,0.75,Pleuridium
Pleuridium acuminatum,Pleuridium acuminatum,Encyclopedia of Life,0.988,Pleuridium acuminatum
Pleuridium acuminatum,Pleuridium acuminatum,Catalogue of Life Checklist,0.988,Pleuridium acuminatum
Pleuridium acuminatum,Pleuridium acuminatum,Tropicos - Missouri Botanical Garden,0.988,Pleuridium acuminatum
Pleuridium mexicanum,Pleuridium mexicanum,Encyclopedia of Life,0.988,Pleuridium mexicanum
Pleuridium mexicanum,Pleuridium mexicanum,Catalogue of Life Checklist,0.988,Pleuridium mexicanum
Pleuridium mexicanum,Pleuridium mexicanum,Tropicos - Missouri Botanical Garden,0.988,Pleuridium mexicanum
Pleuridium subulatum,Pleuridium subulatum,Encyclopedia of Life,0.988,Pleuridium subulatum
Pleuridium subulatum,Pleuridium subulatum,Catalogue of Life Checklist,0.988,Pleuridium subulatum
Pleuridium subulatum,Pleuridium subulatum,Tropicos - Missouri Botanical Garden,0.988,Pleuridium subulatum
Trichodon,Trichodon,Catalogue of Life Checklist,0.75,Trichodon
Trichodon,Trichodon,Encyclopedia of Life,0.75,Trichodon
Trichodon,Trichodon,Tropicos - Missouri Botanical Garden,0.75,Trichodon
Trichodon,Trichodon,The International Plant Names Index,0.75,Trichodon
Trichodon cylindricus,Trichodon cylindricus,Encyclopedia of Life,0.988,Trichodon cylindricus
Trichodon cylindricus,Trichodon cylindricus,Catalogue of Life Checklist,0.988,Trichodon cylindricus
Trichodon cylindricus,Trichodon cylindricus,Tropicos - Missouri Botanical Garden,0.988,Trichodon cylindricus
Hedwigiaceae,Hedwigiaceae,Catalogue of Life Checklist,0.75,Hedwigiaceae
Hedwigiaceae,Hedwigiaceae,Encyclopedia of Life,0.75,Hedwigiaceae
Hedwigiaceae,Hedwigiaceae,Tropicos - Missouri Botanical Garden,0.75,Hedwigiaceae
Fissidens,Fissidens,Catalogue of Life Checklist,0.75,Fissidens
Fissidens,Fissidens,Encyclopedia of Life,0.75,Fissidens
Fissidens,Fissidens,Tropicos - Missouri Botanical Garden,0.75,Fissidens
Fissidens aphelotaxifolius,Fissidens aphelotaxifolius,Encyclopedia of Life,0.988,Fissidens aphelotaxifolius
Fissidens aphelotaxifolius,Fissidens aphelotaxifolius,Catalogue of Life Checklist,0.988,Fissidens aphelotaxifolius
Fissidens aphelotaxifolius,Fissidens aphelotaxifolius,Tropicos - Missouri Botanical Garden,0.988,Fissidens aphelotaxifolius
Fissidens bryoides,Fissidens bryoides,Encyclopedia of Life,0.988,Fissidens bryoides
Fissidens bryoides,Fissidens bryoides,Catalogue of Life Checklist,0.988,Fissidens bryoides
Fissidens bryoides,Fissidens bryoides,Tropicos - Missouri Botanical Garden,0.988,Fissidens bryoides
Fissidens crispus,Fissidens crispus,Encyclopedia of Life,0.988,Fissidens crispus
