user_supplied_name,submitted_name,data_source_title,score,matched_name2
Curculionidae,Curculionidae,Catalogue of Life Checklist,0.75,Curculionidae
Cybocephalidae,Cybocephalidae,Catalogue of Life Checklist,0.75,Cybocephalidae
Cybocephalidae,Cybocephalidae,Encyclopedia of Life,0.75,Cybocephalidae
Dascillidae,Dascillidae,Catalogue of Life Checklist,0.75,Dascillidae
Dascillidae,Dascillidae,Encyclopedia of Life,0.75,Dascillidae
Dermestidae,Dermestidae,Catalogue of Life Checklist,0.75,Dermestidae
Dermestidae,Dermestidae,Encyclopedia of Life,0.75,Dermestidae
Dryopidae,Dryopidae,Catalogue of Life Checklist,0.75,Dryopidae
Dryopidae,Dryopidae,Encyclopedia of Life,0.75,Dryopidae
Dytiscidae,Dytiscidae,Encyclopedia of Life,0.75,Dytiscidae
Dytiscidae,Dytiscidae,Catalogue of Life Checklist,0.75,Dytiscidae
Elateridae,Elateridae,Catalogue of Life Checklist,0.75,Elateridae
Elateridae,Elateridae,Encyclopedia of Life,0.75,Elateridae
Elmidae,Elmidae,Encyclopedia of Life,0.75,Elmidae
Elmidae,Elmidae,Catalogue of Life Checklist,0.75,Elmidae
Endomychidae,Endomychidae,Catalogue of Life Checklist,0.75,Endomychidae
Endomychidae,Endomychidae,Encyclopedia of Life,0.75,Endomychidae
Erotylidae,Erotylidae,Catalogue of Life Checklist,0.75,Erotylidae
Erotylidae,Erotylidae,Encyclopedia of Life,0.75,Erotylidae
Eucnemidae,Eucnemidae,Catalogue of Life Checklist,0.75,Eucnemidae
Eucnemidae,Eucnemidae,Encyclopedia of Life,0.75,Eucnemidae
Geotrupidae,Geotrupidae,Encyclopedia of Life,0.75,Geotrupidae
Geotrupidae,Geotrupidae,Catalogue of Life Checklist,0.75,Geotrupidae
Glaphyridae,Glaphyridae,Encyclopedia of Life,0.75,Glaphyridae
Glaphyridae,Glaphyridae,Catalogue of Life Checklist,0.75,Glaphyridae
Gyrinidae,Gyrinidae,Catalogue of Life Checklist,0.75,Gyrinidae
Gyrinidae,Gyrinidae,Encyclopedia of Life,0.75,Gyrinidae
Haliplidae,Haliplidae,Catalogue of Life Checklist,0.75,Haliplidae
Haliplidae,Haliplidae,Encyclopedia of Life,0.75,Haliplidae
Heteroceridae,Heteroceridae,Catalogue of Life Checklist,0.75,Heteroceridae
Heteroceridae,Heteroceridae,Encyclopedia of Life,0.75,Heteroceridae
Histeridae,Histeridae,Encyclopedia of Life,0.75,Histeridae
Histeridae,Histeridae,Catalogue of Life Checklist,0.75,Histeridae
Hydraenidae,Hydraenidae,Catalogue of Life Checklist,0.75,Hydraenidae
Hydraenidae,Hydraenidae,Encyclopedia of Life,0.75,Hydraenidae
Hydrophilidae,Hydrophilidae,Catalogue of Life Checklist,0.75,Hydrophilidae
Hydrophilidae,Hydrophilidae,Encyclopedia of Life,0.75,Hydrophilidae
Hydroscaphidae,Hydroscaphidae,Catalogue of Life Checklist,0.75,Hydroscaphidae
Hydroscaphidae,Hydroscaphidae,Encyclopedia of Life,0.75,Hydroscaphidae
Lampyridae,Lampyridae,Encyclopedia of Life,0.75,Lampyridae
Lampyridae,Lampyridae,Catalogue of Life Checklist,0.75,Lampyridae
Latridiidae,Latridiidae,Catalogue of Life Checklist,0.75,Latridiidae
Latridiidae,Latridiidae,Encyclopedia of Life,0.75,Latridiidae
Leiodidae,Leiodidae,Catalogue of Life Checklist,0.75,Leiodidae
Leiodidae,Leiodidae,Encyclopedia of Life,0.75,Leiodidae
Lucanidae,Lucanidae,Encyclopedia of Life,0.75,Lucanidae
Lucanidae,Lucanidae,Catalogue of Life Checklist,0.75,Lucanidae
Lycidae,Lycidae,Catalogue of Life Checklist,0.75,Lycidae
Lycidae,Lycidae,Encyclopedia of Life,0.75,Lycidae
Melandryidae,Melandryidae,Catalogue of Life Checklist,0.75,Melandryidae
Melandryidae,Melandryidae,Encyclopedia of Life,0.75,Melandryidae
Meloidae,Meloidae,Catalogue of Life Checklist,0.75,Meloidae
Meloidae,Meloidae,Encyclopedia of Life,0.75,Meloidae
Melyridae,Melyridae,Catalogue of Life Checklist,0.75,Melyridae
Melyridae,Melyridae,Encyclopedia of Life,0.75,Melyridae
Mordellidae,Mordellidae,Catalogue of Life Checklist,0.75,Mordellidae
Mordellidae,Mordellidae,Encyclopedia of Life,0.75,Mordellidae
Mycetaeidae,Mycetaeidae,Catalogue of Life Checklist,0.75,Mycetaeidae
Mycetaeidae,Mycetaeidae,Encyclopedia of Life,0.75,Mycetaeidae
Nitidulidae,Nitidulidae,Catalogue of Life Checklist,0.75,Nitidulidae
Nitidulidae,Nitidulidae,Encyclopedia of Life,0.75,Nitidulidae
Noteridae,Noteridae,Catalogue of Life Checklist,0.75,Noteridae
Noteridae,Noteridae,Encyclopedia of Life,0.75,Noteridae
Oedemeridae,Oedemeridae,Catalogue of Life Checklist,0.75,Oedemeridae
Oedemeridae,Oedemeridae,Encyclopedia of Life,0.75,Oedemeridae
Phengodidae,Phengodidae,Encyclopedia of Life,0.75,Phengodidae
Phengodidae,Phengodidae,Catalogue of Life Checklist,0.75,Phengodidae
Pleocomidae,Pleocomidae,Encyclopedia of Life,0.75,Pleocomidae
Pleocomidae,Pleocomidae,Catalogue of Life Checklist,0.75,Pleocomidae
Psephenidae,Psephenidae,Catalogue of Life Checklist,0.75,Psephenidae
Psephenidae,Psephenidae,Encyclopedia of Life,0.75,Psephenidae
Ptiliidae,Ptiliidae,Catalogue of Life Checklist,0.75,Ptiliidae
Ptiliidae,Ptiliidae,Encyclopedia of Life,0.75,Ptiliidae
Rhipiceridae,Rhipiceridae,Catalogue of Life Checklist,0.75,Rhipiceridae
Rhipiceridae,Rhipiceridae,Encyclopedia of Life,0.75,Rhipiceridae
Rhysodidae,Rhysodidae,Catalogue of Life Checklist,0.75,Rhysodidae
Rhysodidae,Rhysodidae,Encyclopedia of Life,0.75,Rhysodidae
Ripiphoridae,Ripiphoridae,Catalogue of Life Checklist,0.75,Ripiphoridae
Ripiphoridae,Ripiphoridae,Encyclopedia of Life,0.75,Ripiphoridae
Scarabaeidae,Scarabaeidae,Encyclopedia of Life,0.75,Scarabaeidae
Scarabaeidae,Scarabaeidae,Catalogue of Life Checklist,0.75,Scarabaeidae
Schizopodidae,Schizopodidae,Catalogue of Life Checklist,0.75,Schizopodidae
Schizopodidae,Schizopodidae,Encyclopedia of Life,0.75,Schizopodidae
Silphidae,Silphidae,Catalogue of Life Checklist,0.75,Silphidae
Silphidae,Silphidae,Encyclopedia of Life,0.75,Silphidae
Silvanidae,Silvanidae,Catalogue of Life Checklist,0.75,Silvanidae
Silvanidae,Silvanidae,Encyclopedia of Life,0.75,Silvanidae
Stenopelmatidae,Stenopelmatidae,Encyclopedia of Life,0.75,Stenopelmatidae
Stenopelmatidae,Stenopelmatidae,Catalogue of Life Checklist,0.75,Stenopelmatidae
Superstitioniidae,Superstitioniidae,Encyclopedia of Life,0.75,Superstitioniidae
Superstitioniidae,Superstitioniidae,Catalogue of Life Checklist,0.75,Superstitioniidae
Talitridae,Talitridae,Encyclopedia of Life,0.75,Talitridae
Talitridae,Talitridae,Catalogue of Life Checklist,0.75,Talitridae
Tanaoceridae,Tanaoceridae,Encyclopedia of Life,0.75,Tanaoceridae
Tanaoceridae,Tanaoceridae,Catalogue of Life Checklist,0.75,Tanaoceridae
Telemidae,Telemidae,Catalogue of Life Checklist,0.75,Telemidae
Telemidae,Telemidae,Encyclopedia of Life,0.75,Telemidae
Staphylinidae,Staphylinidae,Catalogue of Life Checklist,0.75,Staphylinidae
Staphylinidae,Staphylinidae,Encyclopedia of Life,0.75,Staphylinidae
Tengellidae,Tengellidae,Encyclopedia of Life,0.75,Tengellidae
Tetragnathidae,Tetragnathidae,Catalogue of Life Checklist,0.75,Tetragnathidae
Tetragnathidae,Tetragnathidae,Encyclopedia of Life,0.75,Tetragnathidae
Tetrigidae,Tetrigidae,Encyclopedia of Life,0.75,Tetrigidae
Tetrigidae,Tetrigidae,Catalogue of Life Checklist,0.75,Tetrigidae
Tettigoniidae,Tettigoniidae,Encyclopedia of Life,0.75,Tettigoniidae
Tettigoniidae,Tettigoniidae,Catalogue of Life Checklist,0.75,Tettigoniidae
Theraphosidae,Theraphosidae,Catalogue of Life Checklist,0.75,Theraphosidae
Theraphosidae,Theraphosidae,Encyclopedia of Life,0.75,Theraphosidae
Theridiidae,Theridiidae,Catalogue of Life Checklist,0.75,Theridiidae
Theridiidae,Theridiidae,Encyclopedia of Life,0.75,Theridiidae
Thomisidae,Thomisidae,Catalogue of Life Checklist,0.75,Thomisidae
Thomisidae,Thomisidae,Encyclopedia of Life,0.75,Thomisidae
Thripidae,Thripidae,Encyclopedia of Life,0.75,Thripidae
Thripidae,Thripidae,Catalogue of Life Checklist,0.75,Thripidae
Titanoecidae,Titanoecidae,Catalogue of Life Checklist,0.75,Titanoecidae
Titanoecidae,Titanoecidae,Encyclopedia of Life,0.75,Titanoecidae
