"","user_supplied_name","submitted_name","data_source_title","score","matched_name2"
"738","Pohlia andaluscia","Pohlia andaluscia","Encyclopedia of Life",0.75,"Pohlia andalusica"
"739","Pohlia andaluscia","Pohlia andaluscia","Tropicos - Missouri Botanical Garden",0.75,"Pohlia andalusica"
"740","Pohlia annotina","Pohlia annotina","Encyclopedia of Life",0.988,"Pohlia annotina"
"741","Pohlia annotina","Pohlia annotina","Catalogue of Life Checklist",0.988,"Pohlia annotina"
"742","Pohlia annotina","Pohlia annotina","Tropicos - Missouri Botanical Garden",0.988,"Pohlia annotina"
"743","Pohlia bolanderi","Pohlia bolanderi","Encyclopedia of Life",0.988,"Pohlia bolanderi"
"744","Pohlia bolanderi","Pohlia bolanderi","Catalogue of Life Checklist",0.988,"Pohlia bolanderi"
"745","Pohlia bolanderi","Pohlia bolanderi","Tropicos - Missouri Botanical Garden",0.988,"Pohlia bolanderi"
"746","Pohlia camptotrachela","Pohlia camptotrachela","Encyclopedia of Life",0.988,"Pohlia camptotrachela"
"747","Pohlia camptotrachela","Pohlia camptotrachela","Catalogue of Life Checklist",0.988,"Pohlia camptotrachela"
"748","Pohlia camptotrachela","Pohlia camptotrachela","Tropicos - Missouri Botanical Garden",0.988,"Pohlia camptotrachela"
"749","Pohlia cardotii","Pohlia cardotii","Encyclopedia of Life",0.988,"Pohlia cardotii"
"750","Pohlia cardotii","Pohlia cardotii","Catalogue of Life Checklist",0.988,"Pohlia cardotii"
"751","Pohlia cardotii","Pohlia cardotii","Tropicos - Missouri Botanical Garden",0.988,"Pohlia cardotii"
"752","Pohlia cruda","Pohlia cruda","Encyclopedia of Life",0.988,"Pohlia cruda"
"753","Pohlia cruda","Pohlia cruda","Catalogue of Life Checklist",0.988,"Pohlia cruda"
"754","Pohlia cruda","Pohlia cruda","Tropicos - Missouri Botanical Garden",0.988,"Pohlia cruda"
"755","Pohlia dummondii","Pohlia dummondii","Catalogue of Life Checklist",0.75,"Pohlia drummondii"
"756","Pohlia dummondii","Pohlia dummondii","Encyclopedia of Life",0.75,"Pohlia drummondii"
"757","Pohlia dummondii","Pohlia dummondii","Tropicos - Missouri Botanical Garden",0.75,"Pohlia drummondii"
