Subfamily	Genus	Species	Subspecies	Author Date
Myrmicinae	Cyphomyrmex	wheeleri		Forel, 1900
Myrmicinae	Dolopomyrmex	pilatus		Cover & Deyrup, 2007
Myrmicinae	Formicoxenus	chamberlini		(Wheeler, 1904)
Myrmicinae	Formicoxenus	diversipilosus		(Smith, 1939)
Myrmicinae	Leptothorax	athabasca		Buschinger & Schulz, 2008
Myrmicinae	Leptothorax	calderoni		Creighton, 1950
Myrmicinae	Leptothorax	canadensis		Provancher, 1887
Myrmicinae	Manica	bradleyi		(Wheeler, 1909)
Myrmicinae	Manica	hunteri		(Wheeler, 1914)
Myrmicinae	Manica	invidia		Bolton, 1995
Myrmicinae	Manica	parasitica		(Creighton, 1934)
Myrmicinae	Monomorium	ergatogyna		Wheeler, 1904
Myrmicinae	Monomorium	pharaonis		(Linnaeus, 1758)
Myrmicinae	Monomorium	sahlbergi		Emery, 1898
Myrmicinae	Myrmecina	americana		Emery, 1895
Myrmicinae	Myrmica	crassirugis		Francoeur, 2007
Myrmicinae	Myrmica	discontinua		Weber, 1939
Myrmicinae	Myrmica	glacialis		Emery, 1921
Myrmicinae	Myrmica	incompleta		Provancher, 1881
Myrmicinae	Myrmica	punctinops		Francoeur, 2007
Myrmicinae	Myrmica	rugiventris		(Smith, 1943)
Myrmicinae	Myrmica	tahoensis		Weber, 1948
Myrmicinae	Myrmica	us-ca02		null
Myrmicinae	Novomessor	cockerelli		(André, 1893)
Myrmicinae	Pheidole	barbata		Wheeler, 1908
Myrmicinae	Pheidole	bicarinata		Mayr, 1870
Myrmicinae	Pheidole	californica		Mayr, 1870
Myrmicinae	Pheidole	cerebrosior		Wheeler, 1915
Myrmicinae	Pheidole	clementensis		Gregg, 1969
Myrmicinae	Pheidole	clydei		Gregg, 1950
Myrmicinae	Pheidole	creightoni		Gregg, 1955
Myrmicinae	Pheidole	desertorum		Wheeler, 1906
Myrmicinae	Pheidole	fervens		Smith, 1858
Myrmicinae	Pheidole	gilvescens		Creighton & Gregg, 1955
Myrmicinae	Pheidole	hyatti		Emery, 1895
Myrmicinae	Pheidole	indica		Mayr, 1879
Myrmicinae	Pheidole	megacephala		(Fabricius, 1793)
Myrmicinae	Pheidole	micula		Wheeler, 1915
Myrmicinae	Pheidole	navigans		Forel, 1901
Myrmicinae	Pheidole	paiute		Gregg, 1959
Myrmicinae	Pheidole	pilifera		(Roger, 1863)
Myrmicinae	Pheidole	psammophila		Creighton & Gregg, 1955
Myrmicinae	Pheidole	rugulosa		Gregg, 1959
Myrmicinae	Pheidole	sciophila		Wheeler, 1908
Myrmicinae	Pheidole	vistana		Forel, 1914
Myrmicinae	Pheidole	xerophila		Wheeler, 1908
Myrmicinae	Pheidole	yaqui		Creighton & Gregg, 1955
Myrmicinae	Pogonomyrmex	anzensis		Cole, 1968
Myrmicinae	Pogonomyrmex	brevispinosus		Cole, 1968
Myrmicinae	Pogonomyrmex	californicus		(Buckley, 1867)
Myrmicinae	Pogonomyrmex	colei		Snelling, 1982
Myrmicinae	Pogonomyrmex	desertorum		Wheeler, 1902
Myrmicinae	Pogonomyrmex	hoelldobleri		Johnson <i>et al.</i>, 2013
Myrmicinae	Pogonomyrmex	imberbiculus		Wheeler, 1902
Myrmicinae	Pogonomyrmex	magnacanthus		Cole, 1968
Myrmicinae	Pogonomyrmex	maricopa		Wheeler, 1914
Myrmicinae	Pogonomyrmex	mohavensis		Johnson, 2009
Myrmicinae	Pogonomyrmex	montanus		MacKay, 1980
Myrmicinae	Pogonomyrmex	occidentalis		(Cresson, 1865)
Myrmicinae	Pogonomyrmex	rugosus		Emery, 1895
Myrmicinae	Pogonomyrmex	salinus		Olsen, 1934
Myrmicinae	Pogonomyrmex	subdentatus		Mayr, 1870
Myrmicinae	Pogonomyrmex	subnitidus		Emery, 1895
Myrmicinae	Pogonomyrmex	tenuispinus		Forel, 1914
Myrmicinae	Rogeria	us-ca01		null
Myrmicinae	Solenopsis	amblychila		Wheeler, 1915
Myrmicinae	Solenopsis	aurea		Wheeler, 1906
Myrmicinae	Solenopsis	invicta		Buren, 1972
Myrmicinae	Solenopsis	melina		Pacheco & Mackay, 2013
Myrmicinae	Solenopsis	molesta		(Say, 1836)
Myrmicinae	Solenopsis	salina		Wheeler, 1908
Myrmicinae	Solenopsis	tennesseensis		Smith, 1951
Myrmicinae	Solenopsis	us-ca01		null
Myrmicinae	Solenopsis	validiuscula		Emery, 1895
Myrmicinae	Solenopsis	xyloni		McCook, 1880
Myrmicinae	Stenamma	californicum		Snelling, 1973
Myrmicinae	Stenamma	diecki		Emery, 1895
Myrmicinae	Stenamma	dyscheres		Snelling, 1973
Myrmicinae	Stenamma	exasperatum		Snelling, 1973
Myrmicinae	Stenamma	heathi		Wheeler, 1915
Myrmicinae	Stenamma	heathi_nr		null
Myrmicinae	Stenamma	mgb101		null
Myrmicinae	Stenamma	mgb102		null
Myrmicinae	Stenamma	punctatoventre		Snelling, 1973
Myrmicinae	Stenamma	punctatoventre_nr1		null
Myrmicinae	Stenamma	punctatoventre_nr2		null
Myrmicinae	Stenamma	punctatoventre_nr3		null
Myrmicinae	Stenamma	sequoiarum		Wheeler, 1917
Myrmicinae	Stenamma	sequoiarum_nr		null
Myrmicinae	Stenamma	smithi		Cole, 1966
Myrmicinae	Stenamma	snellingi		Bolton, 1995
Myrmicinae	Stenamma	snellingi_nr		null
Myrmicinae	Stenamma	us-ca01		null
Myrmicinae	Stenamma	wheelerorum		Snelling, 1973
Myrmicinae	Strumigenys	californica		(Brown, 1950)
Myrmicinae	Strumigenys	dbbca_03		null
Myrmicinae	Strumigenys	membranifera		Emery, 1869
Myrmicinae	Strumigenys	reliquia		(Ward, 1988)
