Subfamily	Genus	Species	Subspecies	Author Date
Myrmicinae	Novomessor	cockerelli		(André, 1893)
Myrmicinae	Pheidole	az01		null
Myrmicinae	Pheidole	az02		null
Myrmicinae	Pheidole	az03		null
Myrmicinae	Pheidole	az04		null
Myrmicinae	Pheidole	az05		null
Myrmicinae	Pheidole	az06		null
Myrmicinae	Pheidole	az07		null
Myrmicinae	Pheidole	az08		null
Myrmicinae	Pheidole	az09		null
Myrmicinae	Pheidole	az10		null
Myrmicinae	Pheidole	az11		null
Myrmicinae	Pheidole	az12		null
Myrmicinae	Pheidole	az13		null
Myrmicinae	Pheidole	az15		null
Myrmicinae	Pheidole	batrachorum		Wheeler, 1922
Myrmicinae	Pheidole	bicarinata		Mayr, 1870
Myrmicinae	Pheidole	cavigenis		Wheeler, 1915
Myrmicinae	Pheidole	cerebrosior		Wheeler, 1915
Myrmicinae	Pheidole	ceres		Wheeler, 1904
Myrmicinae	Pheidole	clydei		Gregg, 1950
Myrmicinae	Pheidole	cockerelli		Wheeler, 1908
Myrmicinae	Pheidole	crassicornis		Emery, 1895
Myrmicinae	Pheidole	desertorum		Wheeler, 1906
Myrmicinae	Pheidole	diversipilosa		Wheeler, 1908
Myrmicinae	Pheidole	furtiva		Wilson, 2003
Myrmicinae	Pheidole	gilvescens		Creighton & Gregg, 1955
Myrmicinae	Pheidole	hyatti		Emery, 1895
Myrmicinae	Pheidole	juniperae		Wilson, 2003
Myrmicinae	Pheidole	marcidula		Wheeler, 1908
Myrmicinae	Pheidole	micula		Wheeler, 1915
Myrmicinae	Pheidole	militicida		Wheeler, 1915
Myrmicinae	Pheidole	obtusospinosa		Pergande, 1896
Myrmicinae	Pheidole	paiute		Gregg, 1959
Myrmicinae	Pheidole	pallidula		(Nylander, 1849)
Myrmicinae	Pheidole	perpilosa		Wilson, 2003
Myrmicinae	Pheidole	pilifera		(Roger, 1863)
Myrmicinae	Pheidole	portalensis		Wilson, 2003
Myrmicinae	Pheidole	psammophila		Creighton & Gregg, 1955
Myrmicinae	Pheidole	rhea		Wheeler, 1908
Myrmicinae	Pheidole	rugulosa		Gregg, 1959
Myrmicinae	Pheidole	sciara		Cole, 1955
Myrmicinae	Pheidole	sciophila		Wheeler, 1908
Myrmicinae	Pheidole	senex		Gregg, 1952
Myrmicinae	Pheidole	soritis		Wheeler, 1908
Myrmicinae	Pheidole	spadonia		Wheeler, 1915
Myrmicinae	Pheidole	tepicana		Pergande, 1896
Myrmicinae	Pheidole	tetra		Creighton, 1950
Myrmicinae	Pheidole	titanis		Wheeler, 1903
Myrmicinae	Pheidole	tysoni		Forel, 1901
Myrmicinae	Pheidole	vallicola		Wheeler, 1915
Myrmicinae	Pheidole	virago		Wheeler, 1915
Myrmicinae	Pheidole	vistana		Forel, 1914
Myrmicinae	Pheidole	xerophila		Wheeler, 1908
Myrmicinae	Pogonomyrmex	anergismus		Cole, 1954
Myrmicinae	Pogonomyrmex	apache		Wheeler, 1902
Myrmicinae	Pogonomyrmex	barbatus		(Smith, 1858)
Myrmicinae	Pogonomyrmex	bicolor		Cole, 1968
Myrmicinae	Pogonomyrmex	californicus		(Buckley, 1867)
Myrmicinae	Pogonomyrmex	colei		Snelling, 1982
Myrmicinae	Pogonomyrmex	desertorum		Wheeler, 1902
Myrmicinae	Pogonomyrmex	hoelldobleri		Johnson <i>et al.</i>, 2013
Myrmicinae	Pogonomyrmex	huachucanus		Wheeler, 1914
Myrmicinae	Pogonomyrmex	imberbiculus		Wheeler, 1902
Myrmicinae	Pogonomyrmex	magnacanthus		Cole, 1968
Myrmicinae	Pogonomyrmex	maricopa		Wheeler, 1914
Myrmicinae	Pogonomyrmex	occidentalis		(Cresson, 1865)
Myrmicinae	Pogonomyrmex	pima		Wheeler, 1909
Myrmicinae	Pogonomyrmex	rugosus		Emery, 1895
Myrmicinae	Pogonomyrmex	tenuispinus		Forel, 1914
Myrmicinae	Rogeria	cuneola		Kugler, 1994
Myrmicinae	Solenopsis	amblychila		Wheeler, 1915
Myrmicinae	Solenopsis	aurea		Wheeler, 1906
Myrmicinae	Solenopsis	carolinensis		Forel, 1901
Myrmicinae	Solenopsis	geminata		(Fabricius, 1804)
Myrmicinae	Solenopsis	krockowi		Wheeler, 1908
Myrmicinae	Solenopsis	molesta		(Say, 1836)
Myrmicinae	Solenopsis	salina		Wheeler, 1908
Myrmicinae	Solenopsis	tennesseensis		Smith, 1951
Myrmicinae	Solenopsis	xyloni		McCook, 1880
Myrmicinae	Stenamma	chiricahua		Snelling, 1973
Myrmicinae	Stenamma	huachucanum		Smith, 1957
Myrmicinae	Stenamma	snellingi		Bolton, 1995
Myrmicinae	Strumigenys	arizonica		(Ward, 1988)
Myrmicinae	Strumigenys	az01		null
Myrmicinae	Strumigenys	chiricahua		(Ward, 1988)
Myrmicinae	Strumigenys	membranifera		Emery, 1869
Myrmicinae	Strumigenys	mixta		Brown, 1953
Myrmicinae	Strumigenys	superstes		Booher & Uhey, 2020
Myrmicinae	Temnothorax	adustus		(Mackay, 2000)
