Subfamily,Genus,Species,Subspecies,Author_Date,Arizona,California,BajaCalifornia,Colorado,NewMexico,Nevada,Sonora,Utah,GenSp,GenSpSp,TaxonomicLevelCode
Formicinae,Myrmecocystus,depilis,NA,"Forel, 1901",1,0,0,0,1,0,0,0,Myrmecocystus depilis,NA,60
Formicinae,Myrmecocystus,kennedyi,NA,"Snelling, 1969",1,1,1,0,0,1,1,0,Myrmecocystus kennedyi,NA,60
Formicinae,Myrmecocystus,koso,NA,"Snelling, 1976",1,1,0,0,0,1,0,0,Myrmecocystus koso,NA,60
Formicinae,Myrmecocystus,melliger,NA,"Forel, 1886",1,0,0,1,1,1,1,0,Myrmecocystus melliger,NA,60
Formicinae,Myrmecocystus,mendax,NA,"Wheeler, 1908",1,1,0,1,1,1,0,1,Myrmecocystus mendax,NA,60
Formicinae,Myrmecocystus,mexicanus,NA,"Wesmael, 1838",1,1,0,1,1,1,0,1,Myrmecocystus mexicanus,NA,60
Formicinae,Myrmecocystus,mimicus,NA,"Wheeler, 1908",1,1,0,0,1,0,1,0,Myrmecocystus mimicus,NA,60
Formicinae,Myrmecocystus,navajo,NA,"Wheeler, 1908",1,1,0,1,1,1,0,1,Myrmecocystus navajo,NA,60
Formicinae,Myrmecocystus,placodops,NA,"Forel, 1908",1,1,0,0,1,0,1,1,Myrmecocystus placodops,NA,60
Formicinae,Myrmecocystus,romainei,NA,"Hunt & Snelling, 1975",1,1,0,0,0,0,0,0,Myrmecocystus romainei,NA,60
Formicinae,Myrmecocystus,semirufus,NA,"Emery, 1893",1,1,1,0,1,1,0,1,Myrmecocystus semirufus,NA,60
Formicinae,Myrmecocystus,testaceus,NA,"Emery, 1893",1,1,1,0,1,1,0,1,Myrmecocystus testaceus,NA,60
Formicinae,Myrmecocystus,wheeleri,NA,"Snelling, 1971",1,1,0,0,0,0,0,0,Myrmecocystus wheeleri,NA,60
Formicinae,Myrmecocystus,yuma,NA,"Wheeler, 1912",1,1,1,0,0,1,0,0,Myrmecocystus yuma,NA,60
Formicinae,Nylanderia,austroccidua,NA,"(Trager, 1984)",1,0,0,0,1,0,0,0,Nylanderia austroccidua,NA,60
Formicinae,Nylanderia,bruesii,NA,"(Wheeler, 1903)",1,0,0,0,1,0,1,0,Nylanderia bruesii,NA,60
Formicinae,Nylanderia,hystrix,NA,"(Trager, 1984)",1,1,0,0,0,0,0,1,Nylanderia hystrix,NA,60
Formicinae,Nylanderia,terricola,NA,"(Buckley, 1866)",1,0,0,0,1,1,1,0,Nylanderia terricola,NA,60
Formicinae,Nylanderia,vividula,NA,"(Nylander, 1846)",1,1,0,0,1,0,0,0,Nylanderia vividula,NA,60
Formicinae,Paratrechina,longicornis,NA,"(Latreille, 1802)",1,1,1,0,0,0,1,0,Paratrechina longicornis,NA,60
Formicinae,Polyergus,breviceps,NA,"Emery, 1893",1,0,0,1,0,1,0,0,Polyergus breviceps,NA,60
Formicinae,Polyergus,mexicanus,NA,"Forel, 1899",1,1,0,1,1,1,0,1,Polyergus mexicanus,NA,60
Formicinae,Polyergus,topoffi,NA,"Trager, 2013",1,0,0,0,0,0,0,0,Polyergus topoffi,NA,60
Formicinae,Prenolepis,imparis,NA,"(Say, 1836)",1,1,1,1,1,0,0,1,Prenolepis imparis,NA,60
Myrmicinae,Acromyrmex,versicolor,NA,"(Pergande, 1893)",1,1,1,0,0,0,0,0,Acromyrmex versicolor,NA,60
Myrmicinae,Aphaenogaster,boulderensis,NA,"Smith, 1941",1,1,0,0,1,1,0,1,Aphaenogaster boulderensis,NA,60
Myrmicinae,Aphaenogaster,huachucana,NA,"Creighton, 1934",1,0,0,0,1,0,0,0,Aphaenogaster huachucana,NA,60
Myrmicinae,Aphaenogaster,megommata,NA,"Smith, 1963",1,1,1,0,0,1,1,0,Aphaenogaster megommata,NA,60
Myrmicinae,Aphaenogaster,texana,NA,"(Wheeler, 1906)",1,0,0,0,1,0,0,0,Aphaenogaster texana,NA,60
Myrmicinae,Atta,mexicana,NA,"(Smith, 1858)",1,0,0,0,0,0,1,0,Atta mexicana,NA,60
Myrmicinae,Cephalotes,rohweri,NA,"(Wheeler, 1916)",1,0,0,0,0,0,1,0,Cephalotes rohweri,NA,60
